size,losses,killed,wounded,recovered,efficiency_rate,mortality_rate
600,0,0,0,0,0.0,0.0
0,600,270,330,33,0.425,0.45
0,0,0,0,0,0.0375,0.4
0,0,0,0,0,0.1125,0.3
0,0,0,0,0,0.0625,0.2
0,0,0,0,0,0.1625,0.35
0,0,0,0,0,0.175,0.2
