size,losses,killed,wounded,recovered,efficiency_rate,mortality_rate
10000,0,0,0,0,0.0,0.0
7087,5355,1071,4284,2142,0.425,0.2
6073,2285,343,1942,971,0.214675,0.15
4632,2785,696,2089,1044,0.264325,0.25
3609,2117,529,1588,794,0.17830000000000001,0.25
2141,2947,589,2358,1179,0.252725,0.2
0,2141,428,1713,856,0.22852499999999998,0.2
