size,losses,killed,wounded,recovered,efficiency_rate,mortality_rate
500,0,0,0,0,0.0,0.0
0,500,225,275,28,0.425,0.45
0,0,0,0,0,0.0375,0.45
0,0,0,0,0,0.1125,0.25
0,0,0,0,0,0.0625,0.45
0,0,0,0,0,0.1625,0.25
0,0,0,0,0,0.175,0.35
