ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
262,СКИФ Cyberia,1,,Top50 position (#6),2007-01-01,2011-03-29,Межрегиональный супервычислительный центр,Томск,Т‑Платформы,564,0,0,282,4.096,9013000.0,12002000.0,338400,Linpack,МФлоп/с,564x Intel Xeon 5150 (2 cores),"","",QLogic InfiniPath,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1128 | Количество CPU: 564 | Rpeak (МФлоп/с): 12002000.0,ОС: SUSE Linux Enterprise Server 10 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: QLogic InfiniPath
215,МВС-15000БМ,2,1,Top50 position (#6),2005-01-01,2008-03-27,Межведомственный суперкомпьютерный центр,Москва,"МСЦ, ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",1148,0,0,574,4.0,6680000.0,10102400.0,525000,Linpack,МФлоп/с,1148x IBM PowerPC 970 (1 cores),"","",Myrinet,н/д,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 1148 | Количество CPU: 1148 | Rpeak (МФлоп/с): 10102400.0,Семейство коммуникационной сети: Myrinet | ОС: SuSE SLES9 | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet
265,Макет МВС-50000,3,,Top50 position (#6),2006-01-01,2008-03-27,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,320,0,0,160,4.096,5741000.0,7680000.0,240000,Linpack,МФлоп/с,320x Intel Xeon EM64T (1 cores),"","",InfiniBand,Fast Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 640 | Количество CPU: 320 | Rpeak (МФлоп/с): 7680000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 4.4 | Сервисная сеть: Fast Ethernet | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand
270,SuperDome HyperPlex,4,,Top50 position (#6),2006-01-01,,СберБанк,Москва,Hewlett‑Packard,0,0,0,16,0.0,3059000.0,5772000.0,,Linpack,МФлоп/с,0x HP 32-128 CPU HP SuperDome (2 cores),"","",HyperPlex,н/д,н/д,Финансы,н/д,Количество ядер: 1312 | Количество CPU: 1312 | Rpeak (МФлоп/с): 5772000.0,Семейство коммуникационной сети: HyperPlex | Область применения: Финансы | Коммуникационная сеть: HyperPlex
258,СКИТ-3,5,,Top50 position (#6),2007-01-01,2008-03-27,Институт кибернетики им. В.М. Глушкова,Киев,"Энтри, Институт Кибернетики НАН Украины, Фолгат ФТС",124,0,0,62,8.0,2235000.0,2976000.0,242000,Linpack,МФлоп/с,124x Intel Xeon 5160 (2 cores),"","",InfiniBand,н/д,Gigabit Ethernet,Исследования,н/д,Количество ядер: 248 | Количество CPU: 124 | Rpeak (МФлоп/с): 2976000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Коммуникационная сеть: InfiniBand
134,СКИФ К-1000,6,2,Top50 position (#6),2004-01-01,,ОИПИ,Минск,СКИФ,576,0,0,288,4.0,2032000.0,2534400.0,274000,Linpack,МФлоп/с,576x AMD Opteron 248 (1 cores),"","",InfiniBand,СКИФ-ServNet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 576 | Количество CPU: 576 | Rpeak (МФлоп/с): 2534400.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux Enterprise Server 8 + SP3 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: InfiniBand
260,uSystem XScale 2TX,7,,Top50 position (#6),2006-01-01,2007-09-25,НТУУ 'КПИ',Киев,ПНВП 'ЮСТАР',84,0,0,42,4.096,1460000.0,2016000.0,137800,Linpack,МФлоп/с,84x Intel Xeon 5160 (2 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 168 | Количество CPU: 84 | Rpeak (МФлоп/с): 2016000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 4.4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
186,МВС-6000,8,3,Top50 position (#6),2005-01-01,,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,256,0,0,128,2.048,1293000.0,1536000.0,180000,Linpack,МФлоп/с,256x Intel Itanium 2 (1 cores),"","",Myrinet 2000,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 256 | Количество CPU: 256 | Rpeak (МФлоп/с): 1536000.0,Семейство коммуникационной сети: Myrinet | ОС: RHEL 3 | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet 2000
267,"",9,,Top50 position (#6),2007-01-01,,ГИВК,Санкт-Петербург,Т‑Платформы,130,0,0,65,8.192,1035000.0,1248000.0,240000,Linpack,МФлоп/с,130x AMD Opteron 280 (2 cores),"","",InfiniBand,н/д,Gigabit Ethernet,Исследования,н/д,Количество ядер: 260 | Количество CPU: 130 | Rpeak (МФлоп/с): 1248000.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux Enterprise Server 10 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Коммуникационная сеть: InfiniBand
263,СКИФ Политех,10,,Top50 position (#6),2007-01-01,,Кибернетический центр,Томск,Т‑Платформы,48,0,0,24,8.192,791000.0,1021000.0,150000,Linpack,МФлоп/с,48x Intel Xeon 5150 (2 cores),"","",QLogic InfiniPath,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 96 | Количество CPU: 48 | Rpeak (МФлоп/с): 1021000.0,ОС: SUSE Linux Enterprise Server 10 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: QLogic InfiniPath
