ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
6374,Червоненкис,1,1,Top50 position (#37),,,Яндекс,Москва,"Яндекс, NVIDIA",398,1592,0,199,1024.0,21530000000.0,29415170000.0,3926016,Linpack,МФлоп/с,398x AMD EPYC 7702  (64 cores),1592x NVIDIA A100 (108 cores),"",HDR InfiniBand,н/д,100 Gigabit Ethernet,IT Services,н/д,Rpeak (МФлоп/с): 29415170000.0,Коммуникационная сеть: HDR InfiniBand | Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Область применения: IT Services | Транспортная сеть: 100 Gigabit Ethernet
6380,Галушкин,2,2,Top50 position (#37),,,Яндекс,Москва,"Яндекс, NVIDIA",272,1088,0,136,1024.0,16020000000.0,20636100000.0,3321216,Linpack,МФлоп/с,272x AMD EPYC 7702  (64 cores),1088x NVIDIA A100 (108 cores),"",HDR InfiniBand,н/д,100 Gigabit Ethernet,IT Services,н/д,Rpeak (МФлоп/с): 20636100000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Транспортная сеть: 100 Gigabit Ethernet | Область применения: IT Services | Коммуникационная сеть: HDR InfiniBand
6386,Ляпунов,3,3,Top50 position (#37),,,Яндекс,Москва,"NVIDIA, Inspur",274,1096,0,137,512.0,12810000000.0,20029190000.0,2315808,Linpack,МФлоп/с,274x AMD Epyc 7662 (64 cores),1096x NVIDIA A100 (108 cores),"",HDR InfiniBand,н/д,100 Gigabit Ethernet,IT Services,н/д,Rpeak (МФлоп/с): 20029190000.0,Коммуникационная сеть: HDR InfiniBand | Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Транспортная сеть: 100 Gigabit Ethernet | Область применения: IT Services
6432,Кристофари Нео,4,4,Top50 position (#37),,,SberCloud (ООО «Облачные технологии») ,Москва,"NVIDIA, SberCloud (ООО «Облачные технологии») ",198,792,0,99,2048.0,11950000000.0,14908600000.0,2889216,Linpack,МФлоп/с,198x AMD EPYC 7742 (64 cores),792x NVIDIA A100 (108 cores),"",HDR InfiniBand,10 Gigabit Ethernet,200 Gigabit Ethernet,Облачный провайдер,н/д,Rpeak (МФлоп/с): 14908600000.0,Семейство коммуникационной сети: InfiniBand | Топология: Leaf-Spine | Сервисная сеть: 10 Gigabit Ethernet | Транспортная сеть: 200 Gigabit Ethernet | Коммуникационная сеть: HDR InfiniBand | Область применения: Облачный провайдер
5849,Кристофари,5,5,Top50 position (#37),2020-03-29,,SberCloud (ООО «Облачные технологии») ,Москва,"SberCloud (ООО «Облачные технологии») , NVIDIA",150,1200,0,75,1536.0,6669000000.0,8789760000.0,2208000,Linpack,МФлоп/с,150x Intel Xeon Platinum 8168 24C 2.7GHz (24 cores),1200x NVIDIA Tesla V100 (80 cores),"",EDR Infiniband,100 Gigabit Ethernet ,10 Gigabit Ethernet,Облачный провайдер,н/д,Rpeak (МФлоп/с): 8789760000.0,Коммуникационная сеть: EDR Infiniband | Область применения: Облачный провайдер | Семейство коммуникационной сети: InfiniBand | Топология: Leaf-Spine | Сервисная сеть: 100 Gigabit Ethernet  | Транспортная сеть: 10 Gigabit Ethernet
4568,Ломоносов-2,6,6,Top50 position (#37),2018-01-01,,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,1696,1856,0,1696,64.0,2478000000.0,4946790000,,Linpack,МФлоп/с,1536x Intel Xeon E5-2697v3 (14 cores) / 160x Intel Xeon Gold 6126 (12 cores),1536x NVIDIA Tesla K40M (15 cores) / 320x NVIDIA Tesla P100 (56 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Наука и образование,н/д,Rpeak (МФлоп/с): 4946790000,Семейство коммуникационной сети: InfiniBand | Топология: Flattened Butterfly | Транспортная сеть: FDR Infiniband | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS 7 | Область применения: Наука и образование
6289,МТС GROM,7,7,Top50 position (#37),,,"ПАО ""МТС""",Лыткарино,"NVIDIA, Mellanox, NetApp",40,160,0,20,1024.0,2258000000.0,3011840000.0,915840,Linpack,МФлоп/с,40x AMD EPYC 7742 (64 cores),160x NVIDIA A100 40GB (108 cores),"",InfiniBand,н/д,н/д,Искусственный интеллект,н/д,Rpeak (МФлоп/с): 3011840000.0,Коммуникационная сеть: InfiniBand | Область применения: Искусственный интеллект | Семейство коммуникационной сети: InfiniBand | Топология: Leaf-Spine
4574,,8,8,Top50 position (#37),2018-01-01,,ФГБУ 'ГВЦ Росгидромета',Москва,"Т‑Платформы, Cray",1952,0,0,976,128.0,1200350000.0,1293004000,3170112,Linpack,МФлоп/с,1952x Intel Xeon E5-2697v4 (18 cores),"","",Aries,Aries + Gigabit Ethernet,Aries + Infiniband,Исследования,н/д,Rpeak (МФлоп/с): 1293004000,Транспортная сеть: Aries + Infiniband | Сервисная сеть: Aries + Gigabit Ethernet | Коммуникационная сеть: Aries | ОС: SLESCLE | Область применения: Исследования
6311,Политехник - РСК Торнадо,9,9,Top50 position (#37),,,Суперкомпьютерный центр,Санкт-Петербург,Группа компаний РСК,1642,128,0,821,64.0,971230000.0,1521270000.0,2363136,Linpack,МФлоп/с,1250x Intel Xeon E5-2697v3 (14 cores) / 112x Intel Xeon E5-2697v3 (14 cores) / 108x Intel Xeon E5-2697v3 (14 cores) / 60x Intel Xeon Platinum 8268 (24 cores) / 4x Intel Xeon Gold 6248R (24 cores) / 102x Intel Xeon Gold 6248R (24 cores) / 6x Intel Xeon E5-2697v3 (14 cores),112x NVIDIA Tesla K40 (15 cores) / 16x NVIDIA Tesla V100 (80 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1521270000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Наука и образование
6294,cHARISMa,10,10,Top50 position (#37),,,Национальный исследовательский университет Высшая школа экономики,Москва,"Dell, Avilex, Hewlett Packard Enterprise, Институт системного программирования РАН (ИСП РАН)",108,166,0,54,768.0,927400000.0,2027000000.0,797760,Linpack,МФлоп/с,32x Intel Xeon Gold 6152 (22 cores) / 20x Intel Xeon Gold 6152 (22 cores) / 12x Intel Xeon Gold 6152 (22 cores) / 4x Intel Xeon Gold 6152 (22 cores) / 6x Intel Xeon Gold 6240R (24 cores) / 22x Intel Xeon Gold 6248R (24 cores) / 12x AMD EPYC 7702  (64 cores),64x NVIDIA Tesla V100 (80 cores) / 40x NVIDIA Tesla V100 (80 cores) / 2x NVIDIA Tesla P40 (60 cores) / 12x NVIDIA Tesla V100 (80 cores) / 48x NVIDIA A100 (108 cores),"",EDR Infiniband,Gigabit Ethernet,EDR Infiniband,Наука и образование,н/д,Rpeak (МФлоп/с): 2027000000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: EDR Infiniband | Коммуникационная сеть: EDR Infiniband | Область применения: Наука и образование
6305,МВС-10П ОП2,11,11,Top50 position (#37),,,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,498,0,0,249,192.0,759420000.0,1072740000.0,2246016,Linpack,МФлоп/с,116x Intel Xeon Gold 6154 (18 cores) / 102x Intel Xeon Platinum 8268 (24 cores) / 280x Intel Intel Xeon Gold 6248R (24 cores),"","",Intel OmniPath,Gigabit Ethernet,Intel OmniPath,Наука и образование,н/д,Rpeak (МФлоп/с): 1072740000.0,Семейство коммуникационной сети: OmniPath | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Intel OmniPath | Коммуникационная сеть: Intel OmniPath | Область применения: Наука и образование
4556,"",12,12,Top50 position (#37),2018-04-03,2023-03-24,"НИЦ ""Курчатовский институт""",Москва,"SuperMicro, Борлас, НИЦ ""Курчатовский Институт"", Т‑Платформы",1070,365,0,535,128.0,755530000.0,1100550000,2715185,Linpack,МФлоп/с,296x Intel Xeon E5-2650v2 (8 cores) / 46x Intel Xeon E5-2680v3 (12 cores) / 728x Intel Xeon E5-2680v3 (12 cores),296x NVIDIA Tesla K80 (26 cores) / 69x NVIDIA Tesla K80 (26 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1100550000,Семейство коммуникационной сети: InfiniBand | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS | Область применения: Наука и образование
5300,ZHORES CDISE Cluster,13,13,Top50 position (#37),2018-09-23,,Сколковский Институт Науки и Технологий,Москва,Dell,172,104,0,82,192.0,495900000.0,1011600000,,Linpack,МФлоп/с,88x Intel Xeon Gold 6136 (12 cores) / 52x Intel Xeon Gold 6140 (18 cores) / 8x Intel Xeon Gold 6136 (12 cores) / 4x Intel Xeon Gold 6134 (8 cores) / 16x Intel Xeon Gold 6134 (8 cores) / 4x Intel Xeon Gold 6136 (12 cores),104x NVIDIA Tesla V100 (80 cores),"",EDR Infiniband,10 Gigabit Ethernet,Fast Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1011600000,Семейство коммуникационной сети: InfiniBand | Область применения: Наука и образование | Транспортная сеть: Fast Ethernet | Сервисная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: EDR Infiniband
6194,PetaNode 1.2 Cluster,14,14,Top50 position (#37),,,Компьютерные Экосистемы,Новосибирск,"Компьютерные Экосистемы, ТехноСити",12,112,0,6,384.0,420060000.0,777680000.0,467712,Linpack,МФлоп/с,4x Intel Xeon Platinum 8260 (24 cores) / 4x Intel Xeon Platinum 8280L (28 cores) / 4x Intel Xeon Platinum 8280L (28 cores),20x AMD Instinct MI50 (60 cores) / 36x AMD Instinct MI50 (60 cores) / 56x AMD Instinct MI50 (60 cores),"",10 Gigabit Ethernet,Gigabit Ethernet,10 Gigabit Ethernet,Моделирование климата,н/д,Rpeak (МФлоп/с): 777680000.0,Семейство коммуникационной сети: Ethernet | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: 10 Gigabit Ethernet | Область применения: Моделирование климата
5583,Колмогоров,15,15,Top50 position (#37),,,"АО ""Тинькофф Банк""",Москва,"NVIDIA, Mellanox",20,80,0,10,384.0,418900000.0,658500000.0,571392,Linpack,МФлоп/с,20x Intel Xeon Gold 6154 (18 cores),80x NVIDIA Tesla V100 (80 cores),"",100 Gigabit Ethernet,100 Gigabit Ethernet,100 Gigabit Ethernet,Искусственный интеллект,н/д,Rpeak (МФлоп/с): 658500000.0,Семейство коммуникационной сети: Ethernet | Топология: FatTree | Сервисная сеть: 100 Gigabit Ethernet | Транспортная сеть: 100 Gigabit Ethernet | Коммуникационная сеть: 100 Gigabit Ethernet | Область применения: Искусственный интеллект
4217,МВС-10П,16,16,Top50 position (#37),2016-09-26,,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,416,0,416,208,80.0,383212000.0,523830000,1095680,Linpack,МФлоп/с,416x Intel Xeon E5-2690 (8 cores),"",416x Intel Xeon Phi 7110X (61 cores),FDR Infiniband,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 28704 | Количество CPU: 416 | Rpeak (МФлоп/с): 523830000,Семейство коммуникационной сети: InfiniBand | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Наука и образование
5740,имени Н.Н. Говоруна сегмент SKYLAKE,17,17,Top50 position (#37),,,Лаборатория Информационных Технологий,Дубна,Группа компаний РСК,208,0,0,104,192.0,312617000.0,463260000.0,1463808,Linpack,МФлоп/с,208x Intel Xeon 8268 (24 cores),"","",Intel OmniPath,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 463260000.0,Семейство коммуникационной сети: OmniPath | Топология: FatTree | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: Intel OmniPath | Область применения: Наука и образование
511,Лобачевский,18,18,Top50 position (#37),2014-01-01,,Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,Ниагара Компьютерс,360,430,20,180,65.536,289500000.0,573000000.0,806400,Linpack,МФлоп/с,200x Intel Xeon E5-2660 (8 cores) / 100x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores),300x NVIDIA Kepler K20X (14 cores) / 100x NVIDIA Fermi 2090 (16 cores) / 30x NVIDIA Fermi 2090 (16 cores),20x Intel Xeon Phi 5110P (60 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 30760 | Количество CPU: 360 | Rpeak (МФлоп/с): 573000000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.4 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet
497,РСК Торнадо ЮУрГУ,19,19,Top50 position (#37),2013-01-01,,Южно‑Уральский государственный университет,Челябинск,Группа компаний РСК,768,0,384,384,24.576,288200000.0,473640000.0,980992,Linpack,МФлоп/с,768x Intel Xeon X5680 (6 cores),"",384x Intel Xeon Phi SE10X (61 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 28032 | Количество CPU: 768 | Rpeak (МФлоп/с): 473640000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.2 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Сервисная сеть: Gigabit Ethernet | Область применения: Наука и образование
6574,"",20,,Top50 position (#37),,,ФГБОУ ВО Марийский государственный университет,Йошкар-Ола,HUAWEI,221,20,0,111,64.0,275360000.0,555060000.0,20000,Linpack,МФлоп/с,112x Intel Xeon E5-2660 v4 (14 cores) / 40x Intel Xeon Gold 6238R (28 cores) / 20x Intel Xeon Silver 4114 (10 cores) / 8x Intel Xeon E5-2640 v4 (10 cores) / 10x Intel Xeon E5520 (4 cores) / 6x Intel Xeon E5-2690 v3 (12 cores) / 6x Intel Xeon Gold 6154 (18 cores) / 4x Intel Xeon Silver 4114 (10 cores) / 6x Intel Xeon E5-2690v2 (10 cores) / 1x Intel Xeon E5-2697v2 (12 cores) / 2x IBM Xeon Silver 4214R (12 cores) / 2x Intel Xeon Silver 4108 (8 cores) / 2x Intel Xeon E5-2683 v4 (16 cores) / 2x Intel Xeon E5-2687W v4 (12 cores),3x NVIDIA RTX 3080 (8960 cores) / 3x NVIDIA RTX 3080 (8960 cores) / 2x NVIDIA Tesla P40 (60 cores) / 3x NVIDIA RTX 3080 (8960 cores) / 1x NVIDIA RTX 3080 (8960 cores) / 3x NVIDIA RTX 6000 (72 cores) / 3x NVIDIA RTX 2080 (2944 cores) / 1x NVIDIA Tesla K80 (26 cores) / 1x NVIDIA Quadro P6000 (3840 cores),"",2x10 Gigabit Ethernet + 2x1 Gigabit Ethernet,2xGigabit Ethernet,10 Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 555060000.0,Семейство коммуникационной сети: Ethernet | Топология: FatTree | Сервисная сеть: 2xGigabit Ethernet | Транспортная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: 2x10 Gigabit Ethernet + 2x1 Gigabit Ethernet | Область применения: Наука и образование
