ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
172,"",14,,Top50 position (#2),2005-01-01,,ИБХ,Москва,ООО 'ДАТА Технологии',48,0,0,24,4.0,180400.0,230400.0,90000,Linpack,МФлоп/с,48x AMD Opteron 250 (1 cores),"","",InfiniBand,н/д,Fast Ethernet,Наука и образование,н/д,Количество ядер: 48 | Количество CPU: 48 | Rpeak (МФлоп/с): 230400.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux 9.2 | Транспортная сеть: Fast Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand
171,"",16,,Top50 position (#2),2005-01-01,,ИВМиМГ,Новосибирск,"МСЦ, ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",128,0,0,64,1.0,122400.0,196000.0,,Linpack,МФлоп/с,128x HP Alpha 21264A (1 cores),"","",Myrinet 2000,н/д,Fast Ethernet,Наука и образование,н/д,Количество ядер: 128 | Количество CPU: 128 | Rpeak (МФлоп/с): 196000.0,Семейство коммуникационной сети: Myrinet | ОС: RedHat Linux 6.2 | Транспортная сеть: Fast Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet 2000
75,"",26,14,Top50 position (#2),2004-12-07,,Центр Кластерных Технологий,Москва,Т‑Платформы,32,0,0,16,2.0,73000.0,115000.0,,Linpack,МФлоп/с,32x AMD Opteron 244 (1 cores),"","",Gigabit Ethernet,н/д,Gigabit Ethernet,Исследования,н/д,Количество ядер: 32 | Количество CPU: 32 | Rpeak (МФлоп/с): 115000.0,ОС: SuSE Linux Enterprise Server | Коммуникационная сеть: Gigabit Ethernet | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Семейство коммуникационной сети: Ethernet
73,"",28,16,Top50 position (#2),2004-01-01,,Институт биоорганической химии,Москва,ООО 'ДАТА Технологии',32,0,0,16,1.0,71000.0,128000.0,41000,Linpack,МФлоп/с,32x AMD Athlon MP 2800+ (1 cores),"","",Myrinet,н/д,Fast Ethernet,Наука и образование,н/д,Количество ядер: 32 | Количество CPU: 32 | Rpeak (МФлоп/с): 128000.0,Семейство коммуникационной сети: Myrinet | ОС: RedHat 7.3 | Транспортная сеть: Fast Ethernet | Коммуникационная сеть: Myrinet | Область применения: Наука и образование
76,"",39,24,Top50 position (#2),2003-01-01,,НИИ биомедицинской химии им. В.Н.Ореховича,Москва,ООО 'ДАТА Технологии',32,0,0,16,1.0,44700.0,128000.0,,Linpack,МФлоп/с,32x AMD Athlon MP 2600+ (1 cores),"","",Gigabit Ethernet,н/д,Fast Ethernet,Наука и образование,н/д,Количество ядер: 32 | Количество CPU: 32 | Rpeak (МФлоп/с): 128000.0,ОС: RedHat 7.3 | Транспортная сеть: Fast Ethernet | Коммуникационная сеть: Gigabit Ethernet | Область применения: Наука и образование | Семейство коммуникационной сети: Ethernet
80,"",45,26,Top50 position (#2),2004-12-07,,Санкт‑Петербургский политехнический университет,Санкт-Петербург,Собственная сборка,16,0,0,8,2.0,40000.0,57500.0,,Linpack,МФлоп/с,16x AMD Opteron (1 cores),"","",2xGigabit Ethernet,н/д,н/д,Наука и образование,н/д,Количество ядер: 16 | Количество CPU: 16 | Rpeak (МФлоп/с): 57500.0,ОС: SuSE Linux 9.0 for AMD | Коммуникационная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Семейство коммуникационной сети: Ethernet
168,МВС-15000БМ,1,,Top50 position (#2),2004-01-01,2005-09-20,Межведомственный суперкомпьютерный центр,Москва,"МСЦ, ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",552,0,0,276,4.0,3052000.0,4857600.0,360000,Linpack,МФлоп/с,552x IBM PowerPC 970 (1 cores),"","",Myrinet,н/д,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 552 | Количество CPU: 552 | Rpeak (МФлоп/с): 4857600.0,Семейство коммуникационной сети: Myrinet | ОС: Linux | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet
134,СКИФ К-1000,2,1,Top50 position (#2),2004-01-01,,ОИПИ,Минск,СКИФ,576,0,0,288,4.0,2032000.0,2534400.0,274000,Linpack,МФлоп/с,576x AMD Opteron 248 (1 cores),"","",InfiniBand,СКИФ-ServNet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 576 | Количество CPU: 576 | Rpeak (МФлоп/с): 2534400.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux Enterprise Server 8 + SP3 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: InfiniBand
141,"",3,4,Top50 position (#2),2004-01-01,,НИВЦ,Москва,Hewlett‑Packard,160,0,0,80,4.0,512000.0,704000.0,160000,Linpack,МФлоп/с,160x AMD Opteron 248 (1 cores),"","",InfiniBand,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 160 | Количество CPU: 160 | Rpeak (МФлоп/с): 704000.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux Enterprise Server 9.0 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Fast Ethernet | Коммуникационная сеть: InfiniBand
170,МВС-1000М,4,,Top50 position (#2),2005-01-01,2005-09-20,Межведомственный суперкомпьютерный центр,Москва,"МСЦ, ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",512,0,0,256,1.0,489700.0,784400.0,,Linpack,МФлоп/с,512x HP Alpha 21264A (1 cores),"","",Myrinet 2000,н/д,Fast Ethernet,Наука и образование,н/д,Количество ядер: 512 | Количество CPU: 512 | Rpeak (МФлоп/с): 784400.0,Семейство коммуникационной сети: Myrinet | ОС: Red Hat Linux 6.2 | Транспортная сеть: Fast Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet 2000
