ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
308,СКИФ МГУ,1,,Top50 position (#8),2008-01-01,2008-09-23,Московский государственный университет имени М.В.Ломоносова,Москва,СКИФ,1266,0,0,633,8.192,47170000.0,60000000.0,750000,Linpack,МФлоп/с,1058x Intel Xeon E5472 (4 cores) / 128x Intel Xeon E5472 (4 cores) / 64x Intel Xeon E5472 (4 cores) / 16x Intel Xeon E5472 (4 cores),"","",InfiniBand,СКИФ-ServNet + IPMI,Gigabit Ethernet,Исследования,н/д,Количество ядер: 5000 | Количество CPU: 1250 | Rpeak (МФлоп/с): 60000000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 5.0 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: СКИФ-ServNet + IPMI | Коммуникационная сеть: InfiniBand
315,МВС-100К,2,,Top50 position (#8),2007-01-01,2008-09-23,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,940,0,0,470,4.096,33885100.0,45120000.0,,Linpack,МФлоп/с,788x Intel Xeon X5365 (4 cores) / 4x Intel Xeon X5365 (4 cores) / 130x Intel Xeon X5365 (4 cores) / 18x Intel Xeon X5365 (4 cores),"","",InfiniBand,Fast Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 3760 | Количество CPU: 940 | Rpeak (МФлоп/с): 45120000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 4.4 | Сервисная сеть: Fast Ethernet | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand
311,"",3,,Top50 position (#8),2007-01-01,2008-09-23,УГАТУ,Уфа,IBM,532,0,0,266,8.192,14600000.0,19858500.0,476910,Linpack,МФлоп/с,532x Intel Xeon E5345 (4 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 2128 | Количество CPU: 532 | Rpeak (МФлоп/с): 19858500.0,Семейство коммуникационной сети: InfiniBand | ОС: RHEL4 U4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
304,СКИФ Урал,4,,Top50 position (#8),2008-01-01,2008-09-23,Южно‑Уральский государственный университет,Челябинск,Т‑Платформы,332,0,0,166,8.192,12200000.0,15936000.0,380000,Linpack,МФлоп/с,332x Intel Xeon E5472 (4 cores),"","",InfiniBand,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1328 | Количество CPU: 332 | Rpeak (МФлоп/с): 15936000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux/Windows | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: InfiniBand
320,"",5,,Top50 position (#8),2007-01-01,2008-09-23,СФУ,Красноярск,IBM,452,0,0,226,0.0,9287000.0,16872300.0,,Linpack,МФлоп/с,452x Intel Xeon 53xx (4 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1808 | Количество CPU: 452 | Rpeak (МФлоп/с): 16872300.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
262,СКИФ Cyberia,6,1,Top50 position (#8),2007-01-01,2011-03-29,Межрегиональный супервычислительный центр,Томск,Т‑Платформы,564,0,0,282,4.096,9013000.0,12002000.0,338400,Linpack,МФлоп/с,564x Intel Xeon 5150 (2 cores),"","",QLogic InfiniPath,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1128 | Количество CPU: 564 | Rpeak (МФлоп/с): 12002000.0,ОС: SUSE Linux Enterprise Server 10 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: QLogic InfiniPath
289,Enigma CPX000,7,,Top50 position (#8),2007-01-01,2009-03-31,"Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий",Киров,Hewlett‑Packard,288,0,0,144,4.096,8159800.0,10736800.0,,Linpack,МФлоп/с,288x Intel Xeon E5345 (4 cores),"","",InfiniBand,Gigabit Ethernet,2xGigabit Ethernet,Исследования,н/д,Количество ядер: 1152 | Количество CPU: 288 | Rpeak (МФлоп/с): 10736800.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: 2xGigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
321,"",8,,Top50 position (#8),2007-01-01,,Industrial Company,Москва,IBM,336,0,0,168,0.0,6341000.0,8064000.0,,Linpack,МФлоп/с,336x Intel Xeon 51xx (2 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Промышленность,н/д,Количество ядер: 672 | Количество CPU: 336 | Rpeak (МФлоп/с): 8064000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Промышленность | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
306,СКИТ-3,9,,Top50 position (#8),2008-01-01,,Институт кибернетики им. В.М. Глушкова,Киев,"Энтри, Медиа Меджик, Фолгат ФТС, Институт Кибернетики НАН Украины",250,0,0,125,8.192,5317000.0,7354500.0,408000,Linpack,МФлоп/с,148x Intel Xeon 5160 (2 cores) / 102x Intel Xeon EM64T (1 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 704 | Количество CPU: 250 | Rpeak (МФлоп/с): 7354500.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 5.1 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
285,Cluster Platform 3000BL 460c,10,4,Top50 position (#8),2007-01-01,,Logistic Services (F),Москва,Hewlett‑Packard,0,0,0,0,0.0,5242000.0,8064000.0,,Linpack,МФлоп/с,0x Intel Xeon 51xx (2 cores),"","",Gigabit Ethernet,н/д,н/д,Промышленность,н/д,Количество ядер: 672 | Количество CPU: 336 | Rpeak (МФлоп/с): 8064000.0,ОС: Linux | Область применения: Промышленность | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
