ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
5849,Кристофари,1,,Top50 position (#32),2020-03-29,,SberCloud (ООО «Облачные технологии») ,Москва,"SberCloud (ООО «Облачные технологии») , NVIDIA",150,1200,0,75,1536.0,6669000000.0,8789760000.0,2208000,Linpack,МФлоп/с,150x Intel Xeon Platinum 8168 24C 2.7GHz (24 cores),1200x NVIDIA Tesla V100 (80 cores),"",EDR Infiniband,100 Gigabit Ethernet ,10 Gigabit Ethernet,Облачный провайдер,н/д,Rpeak (МФлоп/с): 8789760000.0,Коммуникационная сеть: EDR Infiniband | Область применения: Облачный провайдер | Семейство коммуникационной сети: InfiniBand | Топология: Leaf-Spine | Сервисная сеть: 100 Gigabit Ethernet  | Транспортная сеть: 10 Gigabit Ethernet
4568,Ломоносов-2,2,1,Top50 position (#32),2018-01-01,,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,1696,1856,0,1696,64.0,2478000000.0,4946790000,,Linpack,МФлоп/с,1536x Intel Xeon E5-2697v3 (14 cores) / 160x Intel Xeon Gold 6126 (12 cores),1536x NVIDIA Tesla K40M (15 cores) / 320x NVIDIA Tesla P100 (56 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Наука и образование,н/д,Rpeak (МФлоп/с): 4946790000,Семейство коммуникационной сети: InfiniBand | Топология: Flattened Butterfly | Транспортная сеть: FDR Infiniband | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS 7 | Область применения: Наука и образование
4574,,3,2,Top50 position (#32),2018-01-01,,ФГБУ 'ГВЦ Росгидромета',Москва,"Т‑Платформы, Cray",1952,0,0,976,128.0,1200350000.0,1293004000,3170112,Linpack,МФлоп/с,1952x Intel Xeon E5-2697v4 (18 cores),"","",Aries,Aries + Gigabit Ethernet,Aries + Infiniband,Исследования,н/д,Rpeak (МФлоп/с): 1293004000,Транспортная сеть: Aries + Infiniband | Сервисная сеть: Aries + Gigabit Ethernet | Коммуникационная сеть: Aries | ОС: SLESCLE | Область применения: Исследования
476,Ломоносов,4,3,Top50 position (#32),2012-01-01,2020-06-05,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,12406,2130,0,6199,12.0,901900000.0,1700209000.0,2142719,Linpack,МФлоп/с,8320x Intel Xeon X5570 (4 cores) / 520x Intel Xeon X5570 (4 cores) / 1280x Intel Xeon X5670 (6 cores) / 80x Intel Xeon X5670 (6 cores) / 60x IBM PowerXCell 8i (9 cores) / 1554x Intel Xeon E5630 (4 cores) / 576x Intel Xeon E5630 (4 cores) / 16x Intel Xeon X7560 (8 cores),1554x NVIDIA Tesla X2070 (16 cores) / 576x NVIDIA Tesla X2070 (16 cores),"",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 82468 | Количество CPU: 12422 | Rpeak (МФлоп/с): 1700209000.0,Топология: FatTree | Семейство коммуникационной сети: InfiniBand | ОС: Clustrx | Коммуникационная сеть: QDR Infiniband | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet
5863,Политехник - РСК Торнадо,5,,Top50 position (#32),,2020-09-15,Суперкомпьютерный центр,Санкт-Петербург,Группа компаний РСК,1528,128,0,764,64.0,801632000.0,1148700000.0,2359296,Linpack,МФлоп/с,1246x Intel Xeon E5-2697v3 (14 cores) / 112x Intel Xeon E5-2697v3 (14 cores) / 72x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores) / 6x Intel Xeon E5-2697v3 (14 cores) / 60x Intel Xeon Platinum 8268 (24 cores),112x NVIDIA Tesla K40 (15 cores) / 8x NVIDIA K1 (4 cores) / 8x NVIDIA K2 (16 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Rpeak (МФлоп/с): 1148700000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Исследования
4556,"",6,4,Top50 position (#32),2018-04-03,2023-03-24,"НИЦ ""Курчатовский институт""",Москва,"SuperMicro, Борлас, НИЦ ""Курчатовский Институт"", Т‑Платформы",1070,365,0,535,128.0,755530000.0,1100550000,2715185,Linpack,МФлоп/с,296x Intel Xeon E5-2650v2 (8 cores) / 46x Intel Xeon E5-2680v3 (12 cores) / 728x Intel Xeon E5-2680v3 (12 cores),296x NVIDIA Tesla K80 (26 cores) / 69x NVIDIA Tesla K80 (26 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1100550000,Семейство коммуникационной сети: InfiniBand | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS | Область применения: Наука и образование
5587,"",7,6,Top50 position (#32),2019-02-28,2020-03-11,Национальный исследовательский университет Высшая школа экономики,Москва,"Dell, Avilex, Институт системного программирования РАН (ИСП РАН)",68,106,0,34,768.0,568500000.0,912400000.0,622080,Linpack,МФлоп/с,32x Intel Xeon Gold 6152 (22 cores) / 20x Intel Xeon Gold 6152 (22 cores) / 12x Intel Xeon Gold 6152 (22 cores) / 4x Intel Xeon Gold 6152 (22 cores),64x NVIDIA Tesla V100 (80 cores) / 40x NVIDIA Tesla V100 (80 cores) / 2x NVIDIA Tesla P40 (60 cores),"",EDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 912400000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: EDR Infiniband | Область применения: Наука и образование
5300,ZHORES CDISE Cluster,8,7,Top50 position (#32),2018-09-23,,Сколковский Институт Науки и Технологий,Москва,Dell,172,104,0,82,192.0,495900000.0,1011600000,,Linpack,МФлоп/с,88x Intel Xeon Gold 6136 (12 cores) / 52x Intel Xeon Gold 6140 (18 cores) / 8x Intel Xeon Gold 6136 (12 cores) / 4x Intel Xeon Gold 6134 (8 cores) / 16x Intel Xeon Gold 6134 (8 cores) / 4x Intel Xeon Gold 6136 (12 cores),104x NVIDIA Tesla V100 (80 cores),"",EDR Infiniband,10 Gigabit Ethernet,Fast Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1011600000,Семейство коммуникационной сети: InfiniBand | Область применения: Наука и образование | Транспортная сеть: Fast Ethernet | Сервисная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: EDR Infiniband
5583,Колмогоров,9,8,Top50 position (#32),,,"АО ""Тинькофф Банк""",Москва,"NVIDIA, Mellanox",20,80,0,10,384.0,418900000.0,658500000.0,571392,Linpack,МФлоп/с,20x Intel Xeon Gold 6154 (18 cores),80x NVIDIA Tesla V100 (80 cores),"",100 Gigabit Ethernet,100 Gigabit Ethernet,100 Gigabit Ethernet,Искусственный интеллект,н/д,Rpeak (МФлоп/с): 658500000.0,Семейство коммуникационной сети: Ethernet | Топология: FatTree | Сервисная сеть: 100 Gigabit Ethernet | Транспортная сеть: 100 Gigabit Ethernet | Коммуникационная сеть: 100 Gigabit Ethernet | Область применения: Искусственный интеллект
4217,МВС-10П,10,9,Top50 position (#32),2016-09-26,,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,416,0,416,208,80.0,383212000.0,523830000,1095680,Linpack,МФлоп/с,416x Intel Xeon E5-2690 (8 cores),"",416x Intel Xeon Phi 7110X (61 cores),FDR Infiniband,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 28704 | Количество CPU: 416 | Rpeak (МФлоп/с): 523830000,Семейство коммуникационной сети: InfiniBand | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Наука и образование
5740,имени Н.Н. Говоруна сегмент SKYLAKE,11,10,Top50 position (#32),,,Лаборатория Информационных Технологий,Дубна,Группа компаний РСК,208,0,0,104,192.0,312617000.0,463260000.0,1463808,Linpack,МФлоп/с,208x Intel Xeon 8268 (24 cores),"","",Intel OmniPath,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 463260000.0,Семейство коммуникационной сети: OmniPath | Топология: FatTree | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: Intel OmniPath | Область применения: Наука и образование
5890,МВС-10П ОП2,12,,Top50 position (#32),,2020-09-15,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,218,0,0,109,192.0,292791000.0,427622000.0,1506816,Linpack,МФлоп/с,116x Intel Xeon Gold 6154 (18 cores) / 102x Intel Xeon Platinum 8268 (24 cores),"","",Intel OmniPath,Gigabit Ethernet,Intel OmniPath,Наука и образование,н/д,Rpeak (МФлоп/с): 427622000.0,Семейство коммуникационной сети: OmniPath | Топология: FatTree | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Intel OmniPath | Коммуникационная сеть: Intel OmniPath | Область применения: Наука и образование
511,Лобачевский,13,11,Top50 position (#32),2014-01-01,,Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,Ниагара Компьютерс,360,430,20,180,65.536,289500000.0,573000000.0,806400,Linpack,МФлоп/с,200x Intel Xeon E5-2660 (8 cores) / 100x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores),300x NVIDIA Kepler K20X (14 cores) / 100x NVIDIA Fermi 2090 (16 cores) / 30x NVIDIA Fermi 2090 (16 cores),20x Intel Xeon Phi 5110P (60 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 30760 | Количество CPU: 360 | Rpeak (МФлоп/с): 573000000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.4 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet
497,РСК Торнадо ЮУрГУ,14,12,Top50 position (#32),2013-01-01,,Южно‑Уральский государственный университет,Челябинск,Группа компаний РСК,768,0,384,384,24.576,288200000.0,473640000.0,980992,Linpack,МФлоп/с,768x Intel Xeon X5680 (6 cores),"",384x Intel Xeon Phi SE10X (61 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 28032 | Количество CPU: 768 | Rpeak (МФлоп/с): 473640000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.2 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Сервисная сеть: Gigabit Ethernet | Область применения: Наука и образование
5875,"",15,,Top50 position (#32),,,НОВАТЭК НТЦ,Тюмень,Hewlett Packard Enterprise,544,0,0,272,256.0,273278700.0,496870400.0,1367040,Linpack,МФлоп/с,4x Intel Xeon Gold 5115 (10 cores) / 2x Intel Xeon Gold 6144 (8 cores) / 2x Intel Xeon Silver 4112 (4 cores) / 72x Intel Xeon Gold 6144 (8 cores) / 28x Intel Xeon Gold 5115 (10 cores) / 408x Intel Xeon Gold 6244 (8 cores) / 28x Intel Xeon Gold 6240 (18 cores),"","",10 Gigabit Ethernet,Gigabit Ethernet,10 Gigabit Ethernet,Геофизика,н/д,Rpeak (МФлоп/с): 496870400.0,Топология: Star | Область применения: Геофизика | Семейство коммуникационной сети: Ethernet | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: 10 Gigabit Ethernet
