ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
342,СКИФ МГУ Чебышёв,4,3,Top50 position (#13),2008-01-01,2018-03-03,Московский государственный университет имени М.В.Ломоносова,Москва,СКИФ,1266,0,0,633,8.192,47320000.0,60000000.0,740000,Linpack,МФлоп/с,1058x Intel Xeon E5472 (4 cores) / 128x Intel Xeon E5472 (4 cores) / 64x Intel Xeon E5472 (4 cores) / 16x Intel Xeon E5472 (4 cores),"","",InfiniBand,СКИФ-ServNet + IPMI,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 5000 | Количество CPU: 1250 | Rpeak (МФлоп/с): 60000000.0,Семейство коммуникационной сети: InfiniBand | ОС: AltLinux HPC | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet + IPMI | Коммуникационная сеть: InfiniBand
338,KIAE HPC Cluster,11,6,Top50 position (#13),2008-01-01,,РНЦ Курчатовский институт,Москва,Hewlett‑Packard,864,0,0,432,32.768,25080000.0,34268000.0,460000,Linpack,МФлоп/с,64x Intel Xeon X5365 (4 cores) / 128x Intel Xeon X5365 (4 cores) / 672x Intel Xeon E5345 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 3456 | Количество CPU: 864 | Rpeak (МФлоп/с): 34268000.0,Семейство коммуникационной сети: InfiniBand | ОС: RHEL AS release 4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Infiniband 4x DDR | Сервисная сеть: Gigabit Ethernet
339,"",14,9,Top50 position (#13),2007-01-01,2013-04-02,УГАТУ,Уфа,"АйТи, IBM",532,0,0,266,8.192,15328500.0,19858500.0,476910,Linpack,МФлоп/с,532x Intel Xeon E5345 (4 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 2128 | Количество CPU: 532 | Rpeak (МФлоп/с): 19858500.0,Семейство коммуникационной сети: InfiniBand | ОС: RHEL4 U4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand | Сервисная сеть: Gigabit Ethernet
360,"",16,11,Top50 position (#13),2008-01-01,,РОЦ НИТ,Таганрог,"КРОК, Hewlett‑Packard",518,0,0,131,32.0,14508000.0,18841000.0,663177,Linpack,МФлоп/с,512x AMD Opteron 8356 (4 cores) / 4x AMD Opteron 2356 (4 cores) / 2x Intel Xeon E5430 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 2072 | Количество CPU: 518 | Rpeak (МФлоп/с): 18841000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Infiniband 4x DDR
365,Суперкомпьютер HPC HP Enigma X000,17,12,Top50 position (#13),2008-01-01,,"""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий""",Киров,Hewlett‑Packard,480,0,0,240,4.096,13957600.0,17894400.0,168,Linpack,МФлоп/с,480x Intel Xeon E5345 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 1920 | Количество CPU: 480 | Rpeak (МФлоп/с): 17894400.0,Семейство коммуникационной сети: InfiniBand | ОС: RedHAT | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Infiniband 4x DDR
348,SGI Altix ICE 8200,18,13,Top50 position (#13),2008-01-01,,Росгидромет,Москва,SGI,0,0,0,0,0.0,13680000.0,16029000.0,,Linpack,МФлоп/с,0x Intel Xeon E5440 (4 cores),"","",Infiniband 4x DDR,н/д,н/д,Исследования,н/д,Количество ядер: 1416 | Количество CPU: 354 | Rpeak (МФлоп/с): 16029000.0,Семейство коммуникационной сети: InfiniBand | ОС: SLES10 + SGI ProPack 5 | Область применения: Исследования | Коммуникационная сеть: Infiniband 4x DDR
341,"",19,14,Top50 position (#13),2007-01-01,,СФУ,Красноярск,IBM,452,0,0,226,0.0,13057000.0,16872300.0,,Linpack,МФлоп/с,452x Intel Xeon 53xx (4 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1808 | Количество CPU: 452 | Rpeak (МФлоп/с): 16872300.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand | Сервисная сеть: Gigabit Ethernet
340,СКИФ Урал,20,15,Top50 position (#13),2008-01-01,,Южно‑Уральский государственный университет,Челябинск,Т‑Платформы,332,0,0,166,8.192,12360000.0,15936000.0,386000,Linpack,МФлоп/с,332x Intel Xeon E5472 (4 cores),"","",InfiniBand,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1328 | Количество CPU: 332 | Rpeak (МФлоп/с): 15936000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux/Windows | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: InfiniBand
336,АЛ-100,21,16,Top50 position (#13),2008-01-01,,НПО 'Сатурн',Рыбинск,"IBM, КРОК",342,0,0,171,8.192,10600000.0,14300000.0,378000,Linpack,МФлоп/с,336x Intel Xeon X5355 (4 cores) / 6x Intel Xeon X7350 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,Gigabit Ethernet,Промышленность,н/д,Количество ядер: 1344 | Количество CPU: 336 | Rpeak (МФлоп/с): 14300000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Промышленность | Коммуникационная сеть: Infiniband 4x DDR | Сервисная сеть: Gigabit Ethernet
349,SGI Altix 4700,22,17,Top50 position (#13),2008-01-01,,Росгидромет,Москва,SGI,0,0,0,0,0.0,10287000.0,11049000.0,,Linpack,МФлоп/с,0x Intel Itanium 2 (1 cores),"","",NUMALink,н/д,н/д,Исследования,н/д,Количество ядер: 1664 | Количество CPU: 832 | Rpeak (МФлоп/с): 11049000.0,Семейство коммуникационной сети: NUMAlink | ОС: SLES10 | Область применения: Исследования | Коммуникационная сеть: NUMALink
