ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
262,СКИФ Cyberia,1,1,Top50 position (#7),2007-01-01,2011-03-29,Межрегиональный супервычислительный центр,Томск,Т‑Платформы,564,0,0,282,4.096,9013000.0,12002000.0,338400,Linpack,МФлоп/с,564x Intel Xeon 5150 (2 cores),"","",QLogic InfiniPath,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 1128 | Количество CPU: 564 | Rpeak (МФлоп/с): 12002000.0,ОС: SUSE Linux Enterprise Server 10 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: QLogic InfiniPath
215,МВС-15000БМ,2,2,Top50 position (#7),2005-01-01,2008-03-27,Межведомственный суперкомпьютерный центр,Москва,"МСЦ, ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",1148,0,0,574,4.0,6680000.0,10102400.0,525000,Linpack,МФлоп/с,1148x IBM PowerPC 970 (1 cores),"","",Myrinet,н/д,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 1148 | Количество CPU: 1148 | Rpeak (МФлоп/с): 10102400.0,Семейство коммуникационной сети: Myrinet | ОС: SuSE SLES9 | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Myrinet
265,Макет МВС-50000,3,3,Top50 position (#7),2006-01-01,2008-03-27,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,320,0,0,160,4.096,5741000.0,7680000.0,240000,Linpack,МФлоп/с,320x Intel Xeon EM64T (1 cores),"","",InfiniBand,Fast Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 640 | Количество CPU: 320 | Rpeak (МФлоп/с): 7680000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 4.4 | Сервисная сеть: Fast Ethernet | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: InfiniBand
285,Cluster Platform 3000BL 460c,4,,Top50 position (#7),2007-01-01,,Logistic Services (F),Москва,Hewlett‑Packard,0,0,0,0,0.0,5242000.0,8064000.0,,Linpack,МФлоп/с,0x Intel Xeon 51xx (2 cores),"","",Gigabit Ethernet,н/д,н/д,Промышленность,н/д,Количество ядер: 672 | Количество CPU: 336 | Rpeak (МФлоп/с): 8064000.0,ОС: Linux | Область применения: Промышленность | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
280,МФТИ 60,5,,Top50 position (#7),2007-01-01,,МФТИ,Долгопрудный,"Hewlett‑Packard, Институт системного программирования РАН (ИСП РАН)",272,0,0,136,4.0,4526000.0,6528000.0,244000,Linpack,МФлоп/с,272x Intel Xeon 5160 (2 cores),"","",Myrinet,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 544 | Количество CPU: 272 | Rpeak (МФлоп/с): 6528000.0,Семейство коммуникационной сети: Myrinet | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Myrinet
282,uSystem XScale 2TX,6,,Top50 position (#7),2007-01-01,2009-03-31,НТУУ 'КПИ',Киев,ПНВП 'ЮСТАР',168,0,0,84,4.096,3130000.0,4032000.0,197000,Linpack,МФлоп/с,168x Intel Xeon 5160 (2 cores),"","",InfiniBand,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 336 | Количество CPU: 168 | Rpeak (МФлоп/с): 4032000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 4.4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: InfiniBand
270,SuperDome HyperPlex,7,4,Top50 position (#7),2006-01-01,,СберБанк,Москва,Hewlett‑Packard,0,0,0,16,0.0,3059000.0,5772000.0,,Linpack,МФлоп/с,0x HP 32-128 CPU HP SuperDome (2 cores),"","",HyperPlex,н/д,н/д,Финансы,н/д,Количество ядер: 1312 | Количество CPU: 1312 | Rpeak (МФлоп/с): 5772000.0,Семейство коммуникационной сети: HyperPlex | Область применения: Финансы | Коммуникационная сеть: HyperPlex
258,СКИТ-3,8,5,Top50 position (#7),2007-01-01,2008-03-27,Институт кибернетики им. В.М. Глушкова,Киев,"Энтри, Институт Кибернетики НАН Украины, Фолгат ФТС",124,0,0,62,8.0,2235000.0,2976000.0,242000,Linpack,МФлоп/с,124x Intel Xeon 5160 (2 cores),"","",InfiniBand,н/д,Gigabit Ethernet,Исследования,н/д,Количество ядер: 248 | Количество CPU: 124 | Rpeak (МФлоп/с): 2976000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Коммуникационная сеть: InfiniBand
134,СКИФ К-1000,9,6,Top50 position (#7),2004-01-01,,ОИПИ,Минск,СКИФ,576,0,0,288,4.0,2032000.0,2534400.0,274000,Linpack,МФлоп/с,576x AMD Opteron 248 (1 cores),"","",InfiniBand,СКИФ-ServNet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 576 | Количество CPU: 576 | Rpeak (МФлоп/с): 2534400.0,Семейство коммуникационной сети: InfiniBand | ОС: SUSE Linux Enterprise Server 8 + SP3 | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: InfiniBand
277,T-Edge128,10,,Top50 position (#7),2007-01-01,,Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,Т‑Платформы,128,0,0,64,0.004,1338000.0,2723000.0,160000,Linpack,МФлоп/с,128x Intel Xeon EM64T (1 cores),"","",Gigabit Ethernet,СКИФ-ServNet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 256 | Количество CPU: 128 | Rpeak (МФлоп/с): 2723000.0,ОС: Microsoft&reg; Windows Compute Cluster Server 2003 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
