ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
395,Cluster Platform 3000BL 2x220,12,10,Top50 position (#22),2010-01-01,,РНЦ Курчатовский институт,Москва,Hewlett‑Packard,0,0,0,0,0.0,101213000.0,123648000.0,,Linpack,МФлоп/с,0x Intel Xeon E5472 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 10304 | Количество CPU: 2576 | Rpeak (МФлоп/с): 123648000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Infiniband 4x DDR
521,Ломоносов-2,1,,Top50 position (#22),2014-01-01,2016-09-26,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,1280,1280,0,1280,64.0,1849000000.0,2575870000.0,2293760,Linpack,МФлоп/с,1280x Intel Xeon E5-2697v3 (14 cores),1280x NVIDIA Tesla K40M (15 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Наука и образование,н/д,Количество ядер: 37120 | Количество CPU: 1280 | Rpeak (МФлоп/с): 2575870000.0,Семейство коммуникационной сети: InfiniBand | Топология: Flattened Butterfly | ОС: CentOS | Транспортная сеть: FDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband
476,Ломоносов,2,1,Top50 position (#22),2012-01-01,2020-06-05,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,12406,2130,0,6199,12.0,901900000.0,1700209000.0,2142719,Linpack,МФлоп/с,8320x Intel Xeon X5570 (4 cores) / 520x Intel Xeon X5570 (4 cores) / 1280x Intel Xeon X5670 (6 cores) / 80x Intel Xeon X5670 (6 cores) / 60x IBM PowerXCell 8i (9 cores) / 1554x Intel Xeon E5630 (4 cores) / 576x Intel Xeon E5630 (4 cores) / 16x Intel Xeon X7560 (8 cores),1554x NVIDIA Tesla X2070 (16 cores) / 576x NVIDIA Tesla X2070 (16 cores),"",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 82468 | Количество CPU: 12422 | Rpeak (МФлоп/с): 1700209000.0,Топология: FatTree | Семейство коммуникационной сети: InfiniBand | ОС: Clustrx | Коммуникационная сеть: QDR Infiniband | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet
513,Политехник РСК Торнадо,3,,Top50 position (#22),2014-01-01,2017-04-04,Суперкомпьютерный центр,Санкт-Петербург,Группа компаний РСК,1424,128,0,712,64.0,658112000.0,829338000.0,2253120,Linpack,МФлоп/с,1224x Intel Xeon E5-2697v3 (14 cores) / 112x Intel Xeon E5-2697v3 (14 cores) / 56x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores),112x NVIDIA Tesla K40 (15 cores) / 8x NVIDIA K1 (4 cores) / 8x NVIDIA K2 (16 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 19936 | Количество CPU: 1424 | Rpeak (МФлоп/с): 829338000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 7 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband
485,МВС-10П,4,3,Top50 position (#22),2012-01-01,2016-09-26,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,416,0,416,208,80.0,375700000.0,523827000.0,1180160,Linpack,МФлоп/с,416x Intel Xeon E5-2690 (8 cores),"",416x Intel Xeon Phi 7110X (61 cores),FDR Infiniband,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 28704 | Количество CPU: 416 | Rpeak (МФлоп/с): 523827000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.2 | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: FDR Infiniband
511,Лобачевский,5,,Top50 position (#22),2014-01-01,,Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,Ниагара Компьютерс,360,430,20,180,65.536,289500000.0,573000000.0,806400,Linpack,МФлоп/с,200x Intel Xeon E5-2660 (8 cores) / 100x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores),300x NVIDIA Kepler K20X (14 cores) / 100x NVIDIA Fermi 2090 (16 cores) / 30x NVIDIA Fermi 2090 (16 cores),20x Intel Xeon Phi 5110P (60 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 30760 | Количество CPU: 360 | Rpeak (МФлоп/с): 573000000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.4 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet
497,РСК Торнадо ЮУрГУ,6,5,Top50 position (#22),2013-01-01,,Южно‑Уральский государственный университет,Челябинск,Группа компаний РСК,768,0,384,384,24.576,288200000.0,473640000.0,980992,Linpack,МФлоп/с,768x Intel Xeon X5680 (6 cores),"",384x Intel Xeon Phi SE10X (61 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 28032 | Количество CPU: 768 | Rpeak (МФлоп/с): 473640000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.2 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Сервисная сеть: Gigabit Ethernet | Область применения: Наука и образование
519,Cluster Platform 3000 BL460c Gen8,7,,Top50 position (#22),2014-01-01,2022-03-23,IT Services Provider,,Hewlett‑Packard,0,0,0,0,0.0,189291000.0,295232000.0,,Linpack,МФлоп/с,0x Intel Xeon E5-2680v2 (10 cores),"","",10 Gigabit Ethernet,н/д,н/д,IT Services,н/д,Количество ядер: 13180 | Количество CPU: 1318 | Rpeak (МФлоп/с): 295232000.0,Область применения: IT Services | Коммуникационная сеть: 10 Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
512,Политехник - RSC PetaStream,8,,Top50 position (#22),2014-01-01,2017-04-04,Суперкомпьютерный центр,Санкт-Петербург,Группа компаний РСК,0,0,256,256,8.0,170500000.0,258785000.0,438600,Linpack,МФлоп/с,"","",256x Intel Xeon Phi 5120D (60 cores),FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Исследования,н/д,Количество ядер: 15360 | Количество CPU: 256 | Rpeak (МФлоп/с): 258785000.0,"Семейство коммуникационной сети: InfiniBand | ОС: Linux 2.6.38.8, Intel MPSS 3.4-1 | Транспортная сеть: FDR Infiniband | Коммуникационная сеть: FDR Infiniband | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet"
486,Cluster Platform 3000 BL460c Gen8,9,7,Top50 position (#22),2012-01-01,,IT Services Provider,,Hewlett‑Packard,0,0,0,0,0.0,160900000.0,317400000.0,,Linpack,МФлоп/с,0x Intel Xeon E5-2660 (8 cores),"","",Gigabit Ethernet,н/д,н/д,IT Services,н/д,Количество ядер: 18032 | Количество CPU: 2254 | Rpeak (МФлоп/с): 317400000.0,Область применения: IT Services | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
471,МВС-100К,10,8,Top50 position (#22),2009-01-01,,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,2550,152,0,1275,12.288,119930000.0,227841280.0,,Linpack,МФлоп/с,148x Intel Xeon X5670 (6 cores) / 384x Intel Xeon X5365 (4 cores) / 1980x Intel Xeon E5450 (4 cores) / 38x Intel Xeon X5675 (6 cores),152x NVIDIA Tesla M2090 (16 cores),"",Infiniband 4x DDR,Gigabit Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 13004 | Количество CPU: 2370 | Rpeak (МФлоп/с): 227841280.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 5.6 | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Infiniband 4x DDR
491,Уран,11,9,Top50 position (#22),2008-01-01,2020-03-29,Вычислительный центр,Екатеринбург,"Hewlett‑Packard, Открытые технологии",92,368,0,46,49.152,109884000.0,225853000.0,418610,Linpack,МФлоп/с,40x Intel Xeon X5675 (6 cores) / 20x Intel Xeon X5675 (6 cores) / 32x Intel Xeon E5-2660 (8 cores),160x NVIDIA Tesla M2050 (14 cores) / 80x NVIDIA Tesla M2090 (16 cores) / 128x NVIDIA Tesla M2090 (16 cores),"",Infiniband 4x DDR,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 6184 | Количество CPU: 92 | Rpeak (МФлоп/с): 225853000.0,Семейство коммуникационной сети: InfiniBand | ОС: RHEL6.4 | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: Infiniband 4x DDR
470,СКИФ-Аврора ЮУрГУ,13,11,Top50 position (#22),2010-01-01,,Южно‑Уральский государственный университет,Челябинск,Группа компаний РСК,0,0,0,0,0.0,100348830.0,117642240.0,900816,Linpack,МФлоп/с,0x Intel Xeon X5680 (6 cores),"","",QDR Infiniband,н/д,н/д,Наука и образование,н/д,Количество ядер: 8832 | Количество CPU: 1472 | Rpeak (МФлоп/с): 117642240.0,Семейство коммуникационной сети: InfiniBand | Топология: Трехмерный тор | Коммуникационная сеть: QDR Infiniband | ОС: SKIF ALT Linux | Область применения: Наука и образование
515,"",14,,Top50 position (#22),2013-01-01,,Т‑Нано,Москва,Т‑Платформы,640,0,0,320,128.0,93140000.0,116355000.0,1480000,Linpack,МФлоп/с,140x Intel Xeon E5-2670 (8 cores) / 50x Intel Xeon E5-2670 (8 cores) / 100x Intel Xeon E5-2680v2 (10 cores) / 122x Intel Xeon E5-2670v2 (10 cores) / 228x Intel Xeon E5-2650v2 (8 cores),"","",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Коммерческий сектор,н/д,Количество ядер: 5564 | Количество CPU: 640 | Rpeak (МФлоп/с): 116355000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS6.4 | Транспортная сеть: Gigabit Ethernet | Область применения: Коммерческий сектор | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband
518,"",15,,Top50 position (#22),2014-01-01,,Институт прикладной астрономии РАН,Санкт-Петербург,Т‑Платформы,80,80,0,40,64.0,85340000.0,106912000.0,525056,Linpack,МФлоп/с,64x Intel Xeon E5-2670 (8 cores) / 16x Intel Xeon E5-2670 (8 cores),64x NVIDIA Tesla K20 (13 cores) / 16x NVIDIA Tesla K20 (13 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 1680 | Количество CPU: 80 | Rpeak (МФлоп/с): 106912000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband
