ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
412,Ломоносов,1,,Top50 position (#14),2010-01-01,2011-09-20,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,10260,0,0,5130,12.0,397100000.0,510054000.0,1810000,Linpack,МФлоп/с,8320x Intel Xeon X5570 (4 cores) / 520x Intel Xeon X5570 (4 cores) / 1280x Intel Xeon X5670 (6 cores) / 80x Intel Xeon X5670 (6 cores) / 60x IBM PowerXCell 8i (9 cores),"","",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 44000 | Количество CPU: 10260 | Rpeak (МФлоп/с): 510054000.0,Семейство коммуникационной сети: InfiniBand | Топология: FatTree | ОС: Clustrx | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: QDR Infiniband
410,СКИФ-Аврора ЮУрГУ,3,,Top50 position (#14),2010-01-01,2012-03-27,Южно‑Уральский государственный университет,Челябинск,РСК СКИФ,0,0,0,0,0.0,100348830.0,117642240.0,900816,Linpack,МФлоп/с,0x Intel Xeon X5680 (6 cores),"","",QDR Infiniband,н/д,н/д,Наука и образование,н/д,Количество ядер: 8832 | Количество CPU: 1472 | Rpeak (МФлоп/с): 117642240.0,Семейство коммуникационной сети: InfiniBand | Топология: Трехмерный тор | Коммуникационная сеть: QDR Infiniband | ОС: SKIF ALT Linux | Область применения: Наука и образование
414,МВС-100К,4,,Top50 position (#14),2009-01-01,2012-03-27,Межведомственный суперкомпьютерный центр,Москва,Hewlett‑Packard,2512,0,0,1256,12.288,86716000.0,123879360.0,,Linpack,МФлоп/с,148x Intel Xeon X5670 (6 cores) / 384x Intel Xeon X5365 (4 cores) / 1980x Intel Xeon E5450 (4 cores),"","",Infiniband 4x DDR,Gigabit Ethernet,2xGigabit Ethernet,Наука и образование,н/д,Количество ядер: 10344 | Количество CPU: 2332 | Rpeak (МФлоп/с): 123879360.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 5.4 | Транспортная сеть: 2xGigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: Infiniband 4x DDR
342,СКИФ МГУ Чебышёв,5,4,Top50 position (#14),2008-01-01,2018-03-03,Московский государственный университет имени М.В.Ломоносова,Москва,СКИФ,1266,0,0,633,8.192,47320000.0,60000000.0,740000,Linpack,МФлоп/с,1058x Intel Xeon E5472 (4 cores) / 128x Intel Xeon E5472 (4 cores) / 64x Intel Xeon E5472 (4 cores) / 16x Intel Xeon E5472 (4 cores),"","",InfiniBand,СКИФ-ServNet + IPMI,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 5000 | Количество CPU: 1250 | Rpeak (МФлоп/с): 60000000.0,Семейство коммуникационной сети: InfiniBand | ОС: AltLinux HPC | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: СКИФ-ServNet + IPMI | Коммуникационная сеть: InfiniBand
417,BladeCenter HS22 Cluster,6,,Top50 position (#14),2010-01-01,2011-09-20,Государственный сектор,Москва,IBM,0,0,0,0,0.0,44817300.0,49223700.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 4864 | Количество CPU: 1216 | Rpeak (МФлоп/с): 49223700.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
411,К-100,7,,Top50 position (#14),2010-01-01,,ИПМ им. М.В.Келдыша РАН,Москва,"ООО НПО 'Роста', ФГУП 'Квант', ИПМ им. М.В.Келдыша РАН",128,192,0,64,96.0,41140000.0,107900000.0,768000,Linpack,МФлоп/с,128x Intel Xeon X5670 (6 cores),192x NVIDIA Tesla C2050 (14 cores),"","""МВС-экспресс""",Gigabit Ethernet,InfiniBand,Наука и образование,н/д,Количество ядер: 3456 | Количество CPU: 128 | Rpeak (МФлоп/с): 107900000.0,"ОС: CentOS 5.5 | Транспортная сеть: InfiniBand | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: ""МВС-экспресс"""
418,xSeries x3650 Cluster,8,,Top50 position (#14),2010-01-01,2011-09-20,Государственный сектор,Москва,IBM,0,0,0,0,0.0,40394600.0,46751000.0,,Linpack,МФлоп/с,0x Intel Xeon X5550 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 4384 | Количество CPU: 1096 | Rpeak (МФлоп/с): 46751000.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
420,xSeries x3650 Cluster,10,,Top50 position (#14),2010-01-01,,Classified,Москва,IBM,0,0,0,0,0.0,37497000.0,65739500.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 6496 | Количество CPU: 1624 | Rpeak (МФлоп/с): 65739500.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
421,BladeCenter HS22 Cluster,11,,Top50 position (#14),2010-01-01,,IT‑Services,Москва,IBM,0,0,0,0,0.0,36619600.0,64201300.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 6344 | Количество CPU: 1586 | Rpeak (МФлоп/с): 64201300.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
419,BladeCenter HS22 Cluster,13,,Top50 position (#14),2010-01-01,,Государственный сектор,Москва,IBM,0,0,0,0,0.0,31724700.0,55619500.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 5496 | Количество CPU: 1374 | Rpeak (МФлоп/с): 55619500.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
